dataset,lambda,seed,metric,n_confident,n_uncertain,median_confident,median_uncertain,U,p_value,cliffs_delta,effect
telco,0.0,16,spearman,1258,500,0.8999999999999998,0.8999999999999998,352456.0,5.551280434725823e-05,0.12068680445151037,negligible
telco,0.0,16,kendall,1258,500,0.7999999999999999,0.7999999999999999,351787.5,7.24773187765628e-05,0.1185612082670906,negligible
telco,0.0,16,jaccard,1258,500,1.0,1.0,334763.5,0.010093996821790572,0.06443084260731324,negligible
telco,0.0,17,spearman,1314,444,0.8857142857142858,0.8285714285714287,309316.5,0.055081947774522515,0.060363445637418245,negligible
telco,0.0,17,kendall,1314,444,0.7333333333333333,0.7333333333333333,312608.5,0.021930177697366555,0.07164870349801866,negligible
telco,0.0,17,jaccard,1314,444,1.0,0.6666666666666666,310110.0,0.022961953670619113,0.0630836315767822,negligible
telco,0.0,18,spearman,1269,489,0.8999999999999998,0.8857142857142858,419123.0,2.6903077784145556e-31,0.35083096846139106,medium
telco,0.0,18,kendall,1269,489,0.7999999999999999,0.7333333333333333,419142.5,2.008453232922474e-31,0.3508938168469127,medium
telco,0.0,18,jaccard,1269,489,1.0,0.6666666666666666,392036.0,2.605073724246274e-23,0.26352972648060313,small
telco,0.0,19,spearman,1231,527,0.7142857142857143,0.6785714285714287,358517.5,0.00045219420514991886,0.10527841020321027,negligible
telco,0.0,19,kendall,1231,527,0.6,0.4666666666666666,359889.0,0.0002494165787435168,0.10950662595165683,negligible
telco,0.0,19,jaccard,1231,527,0.6666666666666666,0.6666666666666666,375986.5,5.1399074476602e-09,0.1591338246469678,small
telco,0.5,0,spearman,1278,480,0.7142857142857144,0.6571428571428573,347840.0,1.4047870379760504e-05,0.13406364110589464,negligible
telco,0.5,0,kendall,1278,480,0.6,0.4666666666666666,352142.0,1.427959212587642e-06,0.14808946270213874,small
telco,0.5,0,jaccard,1278,480,0.6666666666666666,0.6666666666666666,357423.0,2.0837665100265654e-09,0.16530712050078256,small
telco,0.5,1,spearman,1342,416,0.7142857142857143,0.6250000000000001,317914.0,1.7582513966690668e-05,0.13892152929038182,negligible
telco,0.5,1,kendall,1342,416,0.6,0.4666666666666666,320267.5,4.698847969809615e-06,0.14735290324429662,small
telco,0.5,1,jaccard,1342,416,0.6666666666666666,0.6666666666666666,313964.5,1.9703716799731557e-05,0.12477251232374176,negligible
telco,0.5,2,spearman,1310,448,0.5428571428571429,0.5428571428571429,294467.5,0.9117676448813689,0.0035015676117775563,negligible
telco,0.5,2,kendall,1310,448,0.39999999999999997,0.39999999999999997,291705.5,0.8512422348307466,-0.0059109187568157084,negligible
telco,0.5,2,jaccard,1310,448,0.6666666666666666,0.6666666666666666,277688.0,0.06669204959317859,-0.053680479825518046,negligible
telco,0.5,3,spearman,1251,507,0.642857142857143,0.5428571428571429,380105.0,6.294159554384662e-11,0.19858353948005303,small
telco,0.5,3,kendall,1251,507,0.4666666666666666,0.39999999999999997,378205.0,2.040125762305698e-10,0.1925922772630022,small
telco,0.5,3,jaccard,1251,507,0.6666666666666666,0.6666666666666666,367058.0,9.816287573751308e-09,0.15744248782433612,small
telco,0.5,4,spearman,1353,405,0.6,0.5357142857142858,319280.0,4.237721479764711e-07,0.16532990245727364,small
telco,0.5,4,kendall,1353,405,0.4666666666666666,0.33333333333333337,316840.0,1.5822849285177038e-06,0.15642422417490165,small
telco,0.5,4,jaccard,1353,405,0.6666666666666666,0.6666666666666666,295668.0,0.006944136617164152,0.07914921573458167,negligible
telco,0.5,5,spearman,1287,471,0.6,0.5428571428571429,326100.0,0.01455879853384241,0.07592336891699958,negligible
telco,0.5,5,kendall,1287,471,0.4666666666666666,0.4285714285714286,327848.5,0.008413478633541051,0.08169231099167407,negligible
telco,0.5,5,jaccard,1287,471,0.6666666666666666,0.6666666666666666,326077.5,0.007542612319836415,0.0758491331739739,negligible
telco,0.5,6,spearman,1265,493,0.7714285714285715,0.6785714285714287,354991.5,6.05100155660405e-06,0.13844093995782858,negligible
telco,0.5,6,kendall,1265,493,0.6,0.4666666666666666,358295.5,9.680353298412765e-07,0.14903671159072873,small
telco,0.5,6,jaccard,1265,493,0.6666666666666666,0.6666666666666666,333170.0,0.012784471390699081,0.06846042219531956,negligible
telco,0.5,7,spearman,1326,432,0.48571428571428577,0.4285714285714286,305395.0,0.0382646108221896,0.06626375621473657,negligible
telco,0.5,7,kendall,1326,432,0.3333333333333333,0.3333333333333333,301441.0,0.1003284647273281,0.05245866152728906,negligible
telco,0.5,7,jaccard,1326,432,0.6666666666666666,0.6666666666666666,311491.0,0.0030170022225713116,0.08754748338081675,negligible
telco,0.5,8,spearman,1251,507,0.7714285714285715,0.7714285714285715,314220.5,0.7622353177182125,-0.00916978448799144,negligible
telco,0.5,8,kendall,1251,507,0.6,0.6,317310.5,0.9848531661406937,0.0005738998544753127,negligible
telco,0.5,8,jaccard,1251,507,0.6666666666666666,0.6666666666666666,321512.5,0.6137816745204515,0.013824049241868863,negligible
telco,0.5,9,spearman,1345,413,0.8285714285714287,0.7714285714285715,328629.0,1.4722184689253966e-08,0.18321466826286947,small
telco,0.5,9,kendall,1345,413,0.7333333333333333,0.6,332381.0,9.483880890387967e-10,0.19672358389515465,small
telco,0.5,9,jaccard,1345,413,0.6666666666666666,0.6666666666666666,286194.0,0.29221153039010195,0.030429264516593557,negligible
telco,0.5,10,spearman,1310,448,0.6,0.6571428571428573,271826.0,0.01966742506777367,-0.07365730643402402,negligible
telco,0.5,10,kendall,1310,448,0.4666666666666666,0.4666666666666666,273449.5,0.030433948759662533,-0.06812465921483102,negligible
telco,0.5,10,jaccard,1310,448,0.6666666666666666,0.6666666666666666,261228.0,0.00015690695765653201,-0.10977371864776442,negligible
telco,0.5,11,spearman,1287,471,0.6,0.48571428571428577,360018.5,1.4965526572761385e-09,0.1878329266864298,small
telco,0.5,11,kendall,1287,471,0.4666666666666666,0.33333333333333337,361278.0,5.516145501006141e-10,0.19198847861268242,small
telco,0.5,11,jaccard,1287,471,0.6666666666666666,0.6666666666666666,362159.0,6.0211814590258564e-12,0.19489522037292728,small
telco,0.5,12,spearman,1285,473,0.642857142857143,0.5357142857142858,351492.0,4.511585276801797e-07,0.1565946315018798,small
telco,0.5,12,kendall,1285,473,0.4666666666666666,0.33333333333333337,353517.5,1.3205316104968926e-07,0.1632595980618785,small
telco,0.5,12,jaccard,1285,473,0.6666666666666666,0.6666666666666666,353285.0,9.786933231936402e-09,0.1624945500612862,small
telco,0.5,13,spearman,1279,479,0.4285714285714286,0.3714285714285715,301671.5,0.623614053962162,-0.015176914375629402,negligible
telco,0.5,13,kendall,1279,479,0.3333333333333333,0.3333333333333333,301204.0,0.5885604551031469,-0.01670309365517486,negligible
